"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Chandler Jones","LB","ARI",12,3.63,NA,0.0281,NA,NA,-2.55,NA,NA,437,NA,NA,60,"3",36,NA,NA,NA,9
"Taylor Heinicke","QB","WAS",9,14.8,1.17,0.227,13.1,16.1,-2.58,-2.43,-2.75,441,337,341,21,"8",33,NA,NA,44,NA
"Cairo Santos","K","CHI",10,6.4,0.844,0.123,5.5,7.24,-2.58,-1.83,-2.98,442,287,353,24,"3",34,NA,NA,19,7
"Nico Collins","WR","HOU",10,6.29,1.22,0.038,4.51,7.47,-2.7,-2.8,-3,456,367,354,60,"11",27,NA,NA,30,0
"Kaimi Fairbairn","K","HOU",10,6.28,0.969,0.0669,5.62,6.95,-2.7,-1.71,-3.27,458,268,369,25,"3",32,NA,NA,31,5
"Dan Arnold","TE","JAC",7,3.89,NA,0.0114,NA,NA,-2.71,NA,NA,459,NA,NA,34,"11",56,NA,NA,NA,4
"Marcedes Lewis","TE","GB",13,3.88,0.715,0.0628,3.42,5.06,-2.72,-1.94,-3.06,461,300,359,35,"11",41,NA,NA,26,15
"Calvin Ridley","WR","ATL",6,6.25,NA,0.0331,NA,NA,-2.74,NA,NA,465,NA,NA,61,"11",31,NA,NA,NA,3
"Julio Jones","WR","TEN",13,6.22,2.57,0.0286,2.24,7.87,-2.77,-5.07,-2.6,471,475,331,62,"11",37,NA,NA,90,10
"Graham Gano","K","NYG",10,6.21,1.2,0.124,4.8,7.74,-2.77,-2.52,-2.48,469,342,324,26,"4",39,NA,NA,62,12
"Hayden Hurst","TE","ATL",6,3.82,0.2,0.0675,3.67,4.09,-2.78,-1.69,-4.03,472,265,399,36,"11",32,NA,NA,1,3
"Courtland Sutton","WR","DEN",11,6.19,0.737,0.0239,5.46,7.17,-2.8,-1.85,-3.3,474,290,371,63,"11",30,NA,NA,7,3
"Ben Roethlisberger","QB","PIT",7,14.6,1.28,0.153,13.1,16.4,-2.81,-2.46,-2.42,476,340,313,22,"8",44,NA,NA,50,17
"Chris Conley","WR","HOU",10,6.16,2.45,0.019,4.05,10.1,-2.83,-3.26,-0.409,479,389,158,64,"11",33,NA,NA,87,6
"Tre'Quan Smith","WR","NO",6,6.15,1.09,0.054,5.06,7.51,-2.84,-2.25,-2.96,483,331,350,65,"11",NA,NA,NA,15,3
"Matthew Wright","K","JAC",7,6.09,0.73,1.29,5.33,6.74,-2.89,-1.99,-3.48,490,309,378,27,"5",30,NA,NA,12,2
"Olamide Zaccheaus","WR","ATL",6,6.09,0.431,0.087,5.78,6.55,-2.9,-1.53,-3.91,491,248,397,66,"11",28,NA,NA,1,2
"Mark Ingram","RB","NO",6,6.08,1.53,0.00567,4.97,8.6,-2.92,-1.76,-2.38,494,277,310,46,"8",36,NA,NA,52,10
"DeeJay Dallas","RB","SEA",9,6.07,1.75,0.0637,4.97,8.51,-2.93,-1.75,-2.47,495,276,321,47,"9",27,NA,NA,62,1
"Trevor Lawrence","QB","JAC",7,14.5,1.95,0.165,12.3,16.8,-2.96,-3.27,-2.04,500,390,287,23,"8",26,NA,NA,84,0
